Title: Quantifying Chemical Tagging: Towards Robust Group Finding in the Galaxy
Authors: A. W. Mitschang (1,2), G. De Silva (3), S. Sharma (4), D. B. Zucker (1,2,3)
	 (1) Macquarie University Research Centre in Astronomy, Astrophysics & Astrophotonics, NSW 2109, Australia
	 (2) Department of Physics & Astronomy, Macquarie University, NSW 2109, Australia
	 (3) Australian Astronomical Observatory, PO Box 915, North Ryde, NSW 1670, Australia
	 (4) Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia
Table: 3
================================================================================
Byte-by-byte Description of file: lit_abund_database.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     --      Cluster  Cluster name
  10- 11 I2     --      CID      Unique ID of cluster (per study) in database
  13- 24 A12    --      Star     Star name as given in source text
  26- 29 I4     --      SID      Unique ID of star (per CID) in database
  31- 31 A1     --      Src      Reference code (see Note (1))
  33- 34 A2     --      El       Element species
  36- 42 F7.2   --      Abund    X/Fe abundance relative to Solar (Fe/H for Fe)
  44- 54 F7.2   --      Error    [?] Tabulated Error on abundance
--------------------------------------------------------------------------------
Note (1): The references for single letter reference codes are listed
     	  in table 2 of the published text and NASA Astrophysical
     	  Database System (ADS) BIBCODES are listed below. The ADS
     	  records can be viewed by following a URL of the format:

	        http://adsabs.harvard.edu/abs/{BIBCODE}

	  Where the {BIBCODE} is replaced as per the single letter reference code
	  listed here.
	  
	  Src   BIBCODE
	  -------------------------
	  A	2009AJ....138.1292S
	  B	2009A&A...501..553D
	  C	2005MNRAS.364..272F
	  D	2008A&A...488..943S
	  E	2005ApJ...635..608S
	  F	2008A&A...480...79B
	  G	2008A&A...489..403P
	  H	2010A&A...523A..11M
	  I	2007AJ....133.1161D
	  J	2006A&A...450..557R
	  K	2007A&A...473..129C
	  L	2000PASP..112.1081G
	  M	2009A&A...502..267S
	  N	2006AJ....131..455D,2003AJ....125.3185P
	  O	2005A&A...441..131C
	  P	2010IAUS..266..495P
	  Q	2012MNRAS.422.3527M
	  R	2008A&A...479..189G
	  S	2008A&A...483..567G
